A0A087WZU1	phosphatidylinositol_phosphatase_ptprq
P29466	caspase-1_subunit_p10
P29466	caspase-1_subunit_p20
P29466	interleukin-1_beta_convertase
P29466	interleukin-1_beta-converting_enzyme
P29466	p45
P29597	non-receptor_tyrosine-protein_kinase_tyk2
P29692	antigen_ny-co-4
P29692	elongation_factor_1-delta
P29966	myristoylated_alanine-rich_c-kinase_substrate
P29966	protein_kinase_c_substrate,_80_kda_protein,_light_chain
P30049	atp_synthase_f1_subunit_delta
P30049	atp_synthase_subunit_delta,_mitochondrial
P30049	f-atpase_delta_subunit
P30084	enoyl-coa_hydratase_1
P30084	enoyl-coa_hydratase,_mitochondrial
P30084	short-chain_enoyl-coa_hydratase
P30086	hcnppp
P30086	hippocampal_cholinergic_neurostimulating_peptide
P30086	neuropolypeptide_h3
P30086	phosphatidylethanolamine-binding_protein_1
P30086	prostatic-binding_protein
P30086	raf_kinase_inhibitor_protein
P30119	uncharacterized_protein_btrf1
P30153	medium_tumor_antigen-associated_61_kda_protein
P30153	pp2a_subunit_a_isoform_pr65-alpha
P30153	pp2a_subunit_a_isoform_r1-alpha
P30153	serine/threonine-protein_phosphatase_2a_65_kda_regmedium_tumor_antigen-associated_61_kda_protein
P30260	anaphase-promoting_complex_subunit_3
P30260	cdc27_homolog
P30260	cell_division_cycle_protein_27_homolog
P30260	h-nuc
P30273	fc_receptor_gamma-chain
P30273	fc-epsilon_ri-gamma
P30273	high_affinity_immunoglobulin_epsilon_receptor_subufc_receptor_gamma-chain
P30273	ige_fc_receptor_subunit_gamma
P30291	wee1a_kinase
P30291	wee1-like_protein_kinase
P30305	dual_specificity_phosphatase_cdc25b
P30305	m-phase_inducer_phosphatase_2
P30419	glycylpeptide_n-tetradecanoyltransferase_1
P30419	myristoyl-coa:protein_n-myristoyltransferase_1
P30419	peptide_n-myristoyltransferase_1
P30613	pyruvate_kinase_1
P30613	pyruvate_kinase_isozymes_l/r
P30613	pyruvate_kinase_pklr
P30613	red_cell/liver_pyruvate_kinase
P30613	r-type/l-type_pyruvate_kinase
P30954	olfactory_receptor_10j1
P30954	olfactory_receptor-like_protein_hgmp07j
P30954	olfactory_receptor_or1-26
P31153	methionine_adenosyltransferase_2
P31153	methionine_adenosyltransferase_ii
P31153	s-adenosylmethionine_synthase_isoform_type-2
P31276	homeobox_protein_hox-3g
P31276	homeobox_protein_hox-c13
P31689	dnaj_homolog_subfamily_a_member_1
P31689	dnaj_protein_homolog_2
P31689	heat_shock_40_kda_protein_4
P31689	heat_shock_protein_j2
P31689	hsdj
P31689	human_dnaj_protein_2
P31785	cytokine_receptor_common_subunit_gamma
P31785	gammac
P31785	interleukin-2_receptor_subunit_gamma
P31785	p64
P31939	5-aminoimidazole-4-carboxamide_ribonucleotide_formaicar_transformylase
P31939	aicar_transformylase
P31939	atic
P31939	bifunctional_purine_biosynthesis_protein_purh
P31939	bifunctional_purine_biosynthesis_protein_purh,_n-terminally_processed
P31939	imp_cyclohydrolase
P31939	imp_synthase
P31939	inosinicase
P31939	phosphoribosylaminoimidazolecarboxamide_formyltran5-aminoimidazole-4-carboxamide_ribonucleotide_formaicar_transformylase
P31943	heterogeneous_nuclear_ribonucleoprotein_h
P31943	heterogeneous_nuclear_ribonucleoprotein_h,_n-terminally_processed
P31946	14-3-3_protein_beta/alpha
P31946	14-3-3_protein_beta/alpha,_n-terminally_processed
P31946	protein_1054
P31946	protein_kinase_c_inhibitor_protein_1
P31946-2	14-3-3_protein_beta/alpha,_n-terminally_processed
P31946-2	isoform_short_of_14-3-3_protein_beta/alpha
P31946-2	protein_1054
P31946-2	protein_kinase_c_inhibitor_protein_1
P31947	14-3-3_protein_sigma
P31947	epithelial_cell_marker_protein_1
P31947	stratifin
P31948	hsc70/hsp90-organizing_protein
P31948	renal_carcinoma_antigen_ny-ren-11
P31948	stress-induced-phosphoprotein_1
P31948	transformation-sensitive_protein_ief_ssp_3521
P31949	calgizzarin
P31949	metastatic_lymph_node_gene_70_protein
P31949	protein_s100-a11
P31949	protein_s100-a11,_n-terminally_processed
P31949	protein_s100-c
P31949	s100_calcium-binding_protein_a11
P32019	75_kda_inositol_polyphosphate-5-phosphatase
P32019	phosphoinositide_5-phosphatase
P32019	type_ii_inositol_1,4,5-trisphosphate_5-phosphatase75_kda_inositol_polyphosphate-5-phosphatase
P32119	natural_killer_cell-enhancing_factor_b
P32119	peroxiredoxin-2
P32119	prp
P32119	thiol-specific_antioxidant_protein
P32119	thioredoxin_peroxidase_1
P32119	thioredoxin-dependent_peroxide_reductase_1
P32121	arrestin_beta-2
P32121	beta-arrestin-2
P32121	non-visual_arrestin-3
P32189-1	atp:glycerol_3-phosphotransferase
P32189-1	isoform_1_of_glycerol_kinase
P32241	pituitary_adenylate_cyclase-activating_polypeptidevpac1
P32241	vasoactive_intestinal_polypeptide_receptor_1
P32241	vpac1
P32246	c-c_chemokine_receptor_type_1
P32246	hm145
P32246	ld78_receptor
P32246	macrophage_inflammatory_protein_1-alpha_receptor
P32246	rantes-r
P32248	blr2
P32248	c-c_chemokine_receptor_type_7
P32248	cdw197
P32248	epstein-barr_virus-induced_g-protein_coupled_recepmip-3_beta_receptor
P32248	mip-3_beta_receptor
P32455	gtp-binding_protein_1
P32455	guanine_nucleotide-binding_protein_1
P32455	guanylate-binding_protein_1
P32455	interferon-induced_guanylate-binding_protein_1
P32456	gtp-binding_protein_2
P32456	guanine_nucleotide-binding_protein_2
P32456	guanylate-binding_protein_2
P32456	interferon-induced_guanylate-binding_protein_2
P32464	protein_hym1
P32927	cdw131
P32927	cytokine_receptor_common_subunit_beta
P32927	gm-csf/il-3/il-5_receptor_common_beta_subunit
P32970	cd27_ligand
P32970	cd70_antigen
P32970	tumor_necrosis_factor_ligand_superfamily_member_7
P33151	7b4_antigen
P33151	cadherin-5
P33151	vascular_endothelial_cadherin
P33215	neural_precursor_cell_expressed_developmentally_down-regulated_protein_1
P33215	protein_nedd1
P33316	deoxyuridine_5'-triphosphate_nucleotidohydrolase,_dutp_pyrophosphatase
P33316	dutp_pyrophosphatase
P33778	h2b-clustered_histone_3
P33778	histone_h2b.1
P33778	histone_h2b.f
P33778	histone_h2b_type_1-b
P33993	cdc47_homolog
P33993	dna_replication_licensing_factor_mcm7
P33993	p1.1-mcm3
P34931	heat_shock_70_kda_protein_1-hom
P34931	heat_shock_70_kda_protein_1-like
P34932	heat_shock_70_kda_protein_4
P34932	heat_shock_70-related_protein_apg-2
P34932	hsp70ry
P34969	5-ht-x
P34969	5-hydroxytryptamine_receptor_7
P34969	serotonin_receptor_7
P35030	brain_trypsinogen
P35030	mesotrypsin
P35030	mesotrypsinogen
P35030	serine_protease_3
P35030	serine_protease_4
P35030	trypsin_iii
P35030	trypsin_iv
P35030	trypsin-3
P35080	profilin_ii
P35080	profilin-2
P35221	alpha_e-catenin
P35221	cadherin-associated_protein
P35221	catenin_alpha-1
P35221	renal_carcinoma_antigen_ny-ren-13
P35226	polycomb_complex_protein_bmi-1
P35226	polycomb_group_ring_finger_protein_4
P35226	ring_finger_protein_51
P35232	prohibitin
P35240	merlin
P35240	moesin-ezrin-radixin-like_protein
P35240	neurofibromin-2
P35240	schwannomerlin
P35240	schwannomin
P35241	radixin
P35244	replication_factor_a_protein_3
P35244	replication_protein_a_14_kda_subunit
P35249	activator_1_37_kda_subunit
P35249	activator_1_subunit_4
P35249	replication_factor_c_37_kda_subunit
P35249	replication_factor_c_subunit_4
P35250	activator_1_40_kda_subunit
P35250	activator_1_subunit_2
P35250	replication_factor_c_40_kda_subunit
P35250	replication_factor_c_subunit_2
P35268	60s_ribosomal_protein_l22
P35268	eber-associated_protein
P35268	epstein-barr_virus_small_rna-associated_protein
P35268	heparin-binding_protein_hbp15
P35268	large_ribosomal_subunit_protein_el22
P35278	ras-related_protein_rab-5c
P35398-4	isoform_4_of_nuclear_receptor_ror-alpha
P35398-4	nuclear_receptor_rzr-alpha
P35398-4	nuclear_receptor_subfamily_1_group_f_member_1
P35398-4	rar-related_orphan_receptor_a
P35398-4	retinoid-related_orphan_receptor-alpha
P35414	angiotensin_receptor-like_1
P35414	apelin_receptor
P35414	g-protein_coupled_receptor_apj
P35414	g-protein_coupled_receptor_hg11
P35568	insulin_receptor_substrate_1
P35579	cellular_myosin_heavy_chain,_type_a
P35579	myosin_heavy_chain_9
P35579	myosin_heavy_chain,_non-muscle_iia
P35579	myosin-9
P35579	non-muscle_myosin_heavy_chain_a
P35579	non-muscle_myosin_heavy_chain_iia
P35580	cellular_myosin_heavy_chain,_type_b
P35580	myosin_heavy_chain_10
P35580	myosin_heavy_chain,_non-muscle_iib
P35580	myosin-10
P35580	non-muscle_myosin_heavy_chain_b
P35580	non-muscle_myosin_heavy_chain_iib
P35590	tyrosine-protein_kinase_receptor_tie-1
P35606	beta'-coat_protein
P35606	coatomer_subunit_beta'
P35606	p102
P35610	acyl-coenzyme_a:cholesterol_acyltransferase_1
P35610	cholesterol_acyltransferase_1
P35610	sterol_o-acyltransferase_1
P35611	alpha-adducin
P35611	erythrocyte_adducin_subunit_alpha
P35637	75_kda_dna-pairing_protein
P35637	oncogene_fus
P35637	oncogene_tls
P35637	pomp75
P35637	rna-binding_protein_fus
P35637	translocated_in_liposarcoma_protein
P35749	myosin_heavy_chain_11
P35749	myosin_heavy_chain,_smooth_muscle_isoform
P35749	myosin-11
P35749	smmhc
P35908	cytokeratin-2e
P35908	epithelial_keratin-2e
P35908	keratin,_type_ii_cytoskeletal_2_epidermal
P35908	keratin-2_epidermis
P35908	keratin-2e
P35908	type-ii_keratin_kb2
P35998	26s_proteasome_aaa-atpase_subunit_rpt1
P35998	26s_proteasome_regulatory_subunit_7
P35998	proteasome_26s_subunit_atpase_2
P35998	protein_mss1
P36873-2	isoform_2_of_serine/threonine-protein_phosphatase_protein_phosphatase_1c_catalytic_subunit
P36873-2	protein_phosphatase_1c_catalytic_subunit
P36888	fetal_liver_kinase-2
P36888	fl_cytokine_receptor
P36888	fms-like_tyrosine_kinase_3
P36888	receptor-type_tyrosine-protein_kinase_flt3
P36888	stem_cell_tyrosine_kinase_1
P36894	activin_receptor-like_kinase_3
P36894	bone_morphogenetic_protein_receptor_type-1a
P36894	serine/threonine-protein_kinase_receptor_r5
P36895	activin_receptor-like_kinase_3
P36895	bmp-2/bmp-4_receptor
P36895	bone_morphogenetic_protein_receptor_type-1a
P36895	serine/threonine-protein_kinase_receptor_r5
P36941	lymphotoxin-beta_receptor
P36941	tumor_necrosis_factor_c_receptor
P36941	tumor_necrosis_factor_receptor_2-related_protein
P36941	tumor_necrosis_factor_receptor_superfamily_member_lymphotoxin-beta_receptor
P36941	tumor_necrosis_factor_receptor_type_iii
P36957	2-oxoglutarate_dehydrogenase_complex_component_e2
P36957	dihydrolipoamide_succinyltransferase_component_of_e2k
P36957	dihydrolipoyllysine-residue_succinyltransferase_co2-oxoglutarate_dehydrogenase_complex_component_e2
P36957	e2k
P37173	tgf-beta_receptor_type-2
P37173	tgf-beta_type_ii_receptor
P37173	transforming_growth_factor-beta_receptor_type_ii
P37238-1	isoform_2_of_peroxisome_proliferator-activated_recnuclear_receptor_subfamily_1_group_c_member_3
P37238-1	nuclear_receptor_subfamily_1_group_c_member_3
P37238-2	isoform_1_of_peroxisome_proliferator-activated_recnuclear_receptor_subfamily_1_group_c_member_3
P37238-2	nuclear_receptor_subfamily_1_group_c_member_3
P37287-2	glcnac-pi_synthesis_protein
P37287-2	isoform_2_of_phosphatidylinositol_n-acetylglucosamglcnac-pi_synthesis_protein
P37287-2	phosphatidylinositol-glycan_biosynthesis_class_a_protein
P37802	epididymis_tissue_protein_li_7e
P37802	sm22-alpha_homolog
P37802	transgelin-2
P37837	transaldolase
P37840	alpha-synuclein
P37840	non-a_beta_component_of_ad_amyloid
P37840	non-a4_component_of_amyloid_precursor
P38159	glycoprotein_p43
P38159	heterogeneous_nuclear_ribonucleoprotein_g
P38159	rna-binding_motif_protein,_x_chromosome
P38159	rna-binding_motif_protein,_x_chromosome,_n-terminally_processed
P38398	breast_cancer_type_1_susceptibility_protein
P38398	ring_finger_protein_53
P38398	ring-type_e3_ubiquitin_transferase_brca1
P38646	75_kda_glucose-regulated_protein
P38646	heat_shock_70_kda_protein_9
P38646	mortalin
P38646	peptide-binding_protein_74
P38646	stress-70_protein,_mitochondrial
P38919	atp-dependent_rna_helicase_ddx48
P38919	atp-dependent_rna_helicase_eif4a-3
P38919	dead_box_protein_48
P38919	eukaryotic_initiation_factor_4a-iii
P38919	eukaryotic_initiation_factor_4a-iii,_n-terminally_processed
P38919	eukaryotic_initiation_factor_4a-like_nuk-34
P38919	eukaryotic_translation_initiation_factor_4a_isofornuclear_matrix_protein_265
P38919	nuclear_matrix_protein_265
P38936	cdk-interacting_protein_1
P38936	cyclin-dependent_kinase_inhibitor_1
P38936	melanoma_differentiation-associated_protein_6
P38936	p21
P39429	e3_ubiquitin-protein_ligase_traf2
P39429	ring-type_e3_ubiquitin_transferase_traf2
P39429	tnf_receptor-associated_factor_2
P39748	dnase_iv
P39748	flap_endonuclease_1
P39748	flap_structure-specific_endonuclease_1
P39748	maturation_factor_1
P40121	actin_regulatory_protein_cap-g
P40121	macrophage-capping_protein
P40227	acute_morphine_dependence-related_protein_2
P40227	cct-zeta-1
P40227	htr3
P40227	t-complex_protein_1_subunit_zeta
P40227	tcp20
P40337	protein_g7
P40337	pvhl
P40337	von_hippel-lindau_disease_tumor_suppressor
P40763	acute-phase_response_factor
P40763	signal_transducer_and_activator_of_transcription_3acute-phase_response_factor
P40818	deubiquitinating_enzyme_8
P40818	ubiquitin_carboxyl-terminal_hydrolase_8
P40818	ubiquitin_isopeptidase_y
P40818	ubiquitin_thioesterase_8
P40818	ubiquitin-specific-processing_protease_8
P40937	activator_1_36_kda_subunit
P40937	activator_1_subunit_5
P40937	replication_factor_c_36_kda_subunit
P40937	replication_factor_c_subunit_5
P40938	activator_1_38_kda_subunit
P40938	activator_1_subunit_3
P40938	replication_factor_c_38_kda_subunit
P40938	replication_factor_c_subunit_3
P40939	78_kda_gastrin-binding_protein
P40939	long_chain_3-hydroxyacyl-coa_dehydrogenase
P40939	long-chain_enoyl-coa_hydratase
P40939	monolysocardiolipin_acyltransferase
P40939	tp-alpha
P40939	trifunctional_enzyme_subunit_alpha,_mitochondrial
P41182	b-cell_lymphoma_5_protein
P41182	b-cell_lymphoma_6_protein
P41182	protein_laz-3
P41182	zinc_finger_and_btb_domain-containing_protein_27
P41182	zinc_finger_protein_51
P41212	ets_translocation_variant_6
P41212	ets-related_protein_tel1
P41212	transcription_factor_etv6
P41214	eukaryotic_translation_initiation_factor_2d
P41214	hepatocellular_carcinoma-associated_antigen_56
P41214	ligatin
P41218	myeloid_cell_nuclear_differentiation_antigen
P41240	c-src_kinase
P41240	protein-tyrosine_kinase_cyl
P41240	tyrosine-protein_kinase_csk
P41241	c-src_kinase
P41241	p50csk
P41241	protein-tyrosine_kinase_mpk-2
P41241	tyrosine-protein_kinase_csk
P41250	diadenosine_tetraphosphate_synthetase
P41250	glycine--trna_ligase
P41250	glycyl-trna_synthetase
P41250	glycyl-trna_synthetase_1
P41279	cancer_osaka_thyroid_oncogene
P41279	mitogen-activated_protein_kinase_kinase_kinase_8
P41279	proto-oncogene_c-cot
P41279	serine/threonine-protein_kinase_cot
P41279	tumor_progression_locus_2
P41587	helodermin-preferring_vip_receptor
P41587	pituitary_adenylate_cyclase-activating_polypeptidevpac2
P41587	vasoactive_intestinal_polypeptide_receptor_2
P41587	vpac2
P41732	cell_surface_glycoprotein_a15
P41732	membrane_component_chromosome_x_surface_marker_1
P41732	t-cell_acute_lymphoblastic_leukemia-associated_anttransmembrane_4_superfamily_member_2
P41732	tetraspanin-7
P41732	transmembrane_4_superfamily_member_2
P41743	atypical_protein_kinase_c-lambda/iota
P41743	npkc-iota
P41743	protein_kinase_c_iota_type
P42166	lamina-associated_polypeptide_2,_isoform_alpha
P42166	splenin
P42166	thymopentin
P42166	thymopoietin
P42166	thymopoietin_isoform_alpha
P42166	thymopoietin-related_peptide_isoform_alpha
P42166	tp5
P42224	signal_transducer_and_activator_of_transcription_1transcription_factor_isgf-3_components_p91/p84
P42224	transcription_factor_isgf-3_components_p91/p84
P42227	acute-phase_response_factor
P42227	signal_transducer_and_activator_of_transcription_3acute-phase_response_factor
P42229	signal_transducer_and_activator_of_transcription_5a
P42285	atp-dependent_rna_helicase_dob1
P42285	atp-dependent_rna_helicase_skiv2l2
P42285	exosome_rna_helicase_mtr4
P42285	superkiller_viralicidic_activity_2-like_2
P42285	tramp-like_complex_helicase
P42336	phosphatidylinositol_4,5-bisphosphate_3-kinase_110phosphoinositide-3-kinase_catalytic_alpha_polypeptserine/threonine_protein_kinase_pik3ca
P42336	phosphatidylinositol_4,5-bisphosphate_3-kinase_catphosphatidylinositol_4,5-bisphosphate_3-kinase_110phosphoinositide-3-kinase_catalytic_alpha_polypeptserine/threonine_protein_kinase_pik3ca
P42336	phosphoinositide-3-kinase_catalytic_alpha_polypeptserine/threonine_protein_kinase_pik3ca
P42336	serine/threonine_protein_kinase_pik3ca
P42338	phosphatidylinositol_4,5-bisphosphate_3-kinase_110_kda_catalytic_subunit_beta
P42338	phosphatidylinositol_4,5-bisphosphate_3-kinase_catphosphatidylinositol_4,5-bisphosphate_3-kinase_110_kda_catalytic_subunit_beta
P42345	fk506-binding_protein_12-rapamycin_complex-associafkbp12-rapamycin_complex-associated_protein
P42345	fkbp12-rapamycin_complex-associated_protein
P42345	mammalian_target_of_rapamycin
P42345	mechanistic_target_of_rapamycin
P42345	rapamycin_and_fkbp12_target_1
P42345	rapamycin_target_protein_1
P42345	serine/threonine-protein_kinase_mtor
P42356	phosphatidylinositol_4-kinase_alpha
P42566	epidermal_growth_factor_receptor_substrate_15
P42566	protein_af-1p
P42680	tyrosine-protein_kinase_tec
P42685	fyn-related_kinase
P42685	nuclear_tyrosine_protein_kinase_rak
P42685	protein-tyrosine_kinase_5
P42685	tyrosine-protein_kinase_frk
P42704	130_kda_leucine-rich_protein
P42704	gp130
P42704	leucine-rich_ppr_motif-containing_protein,_mitocho130_kda_leucine-rich_protein
P42766	60s_ribosomal_protein_l35
P42766	large_ribosomal_subunit_protein_ul29
P43119	prostacyclin_receptor
P43119	prostaglandin_i2_receptor
P43119	prostanoid_ip_receptor
P43146	colorectal_cancer_suppressor
P43146	immunoglobulin_superfamily_dcc_subclass_member_1
P43146	netrin_receptor_dcc
P43146	tumor_suppressor_protein_dcc
P43155-2	carnitine_acetyltransferase
P43155-2	isoform_2_of_carnitine_o-acetyltransferase
P43243	matrin-3
P43246	dna_mismatch_repair_protein_msh2
P43246	muts_protein_homolog_2
P43250-2	g_protein-coupled_receptor_kinase_grk6
P43250-2	isoform_grk6b_of_g_protein-coupled_receptor_kinaseg_protein-coupled_receptor_kinase_grk6
P43403	70_kda_zeta-chain_associated_protein
P43403	syk-related_tyrosine_kinase
P43403	tyrosine-protein_kinase_zap-70
P43405	p72-syk
P43405	spleen_tyrosine_kinase
P43405	tyrosine-protein_kinase_syk
P43487	ran-binding_protein_1
P43487	ran-specific_gtpase-activating_protein
P43630	cd158_antigen-like_family_member_k
P43630	killer_cell_immunoglobulin-like_receptor_3dl2
P43630	mhc_class_i_nk_cell_receptor
P43630	natural_killer-associated_transcript_4
P43630	p70_natural_killer_cell_receptor_clone_cl-5
P43631	cd158_antigen-like_family_member_j
P43631	killer_cell_immunoglobulin-like_receptor_2ds2
P43631	mhc_class_i_nk_cell_receptor
P43631	natural_killer-associated_transcript_5
P43631	nk_receptor_183_acti
P43631	p58_natural_killer_cell_receptor_clone_cl-49
P43652	afamin
P43652	alpha-albumin
P43657	lysophosphatidic_acid_receptor_6
P43657	oleoyl-l-alpha-lysophosphatidic_acid_receptor
P43657	p2y_purinoceptor_5
P43657	purinergic_receptor_5
P43657	rb_intron_encoded_g-protein_coupled_receptor
P43686	26s_proteasome_aaa-atpase_subunit_rpt3
P43686	26s_proteasome_regulatory_subunit_6b
P43686	mb67-interacting_protein
P43686	mip224
P43686	proteasome_26s_subunit_atpase_4
P43686	tat-binding_protein_7
P43686-2	26s_proteasome_aaa-atpase_subunit_rpt3
P43686-2	isoform_2_of_26s_proteasome_regulatory_subunit_6b
P43686-2	mb67-interacting_protein
P43686-2	mip224
P43686-2	proteasome_26s_subunit_atpase_4
P43686-2	tat-binding_protein_7
P45844-7	atp-binding_cassette_transporter_8
P45844-7	isoform_7_of_atp-binding_cassette_sub-family_g_mematp-binding_cassette_transporter_8
P45844-7	white_protein_homolog
P45880	outer_mitochondrial_membrane_protein_porin_2
P45880	voltage-dependent_anion-selective_channel_protein_outer_mitochondrial_membrane_protein_porin_2
P45973	antigen_p25
P45973	chromobox_protein_homolog_5
P45973	heterochromatin_protein_1_homolog_alpha
P45983	c-jun_n-terminal_kinase_1
P45983	jnk-46
P45983	mitogen-activated_protein_kinase_8
P45983	stress-activated_protein_kinase_1c
P45983	stress-activated_protein_kinase_jnk1
P45984	c-jun_n-terminal_kinase_2
P45984	jnk-55
P45984	mitogen-activated_protein_kinase_9
P45984	stress-activated_protein_kinase_1a
P45984	stress-activated_protein_kinase_jnk2
P45984-1	c-jun_n-terminal_kinase_2
P45984-1	isoform_alpha-2_of_mitogen-activated_protein_kinasjnk-55
P45984-1	jnk-55
P45984-1	stress-activated_protein_kinase_1a
P45984-1	stress-activated_protein_kinase_jnk2
P45985	c-jun_n-terminal_kinase_kinase_1
P45985	dual_specificity_mitogen-activated_protein_kinase_jnk-activating_kinase_1
P45985	jnk-activating_kinase_1
P45985	mapk/erk_kinase_4
P45985	sapk/erk_kinase_1
P45985	stress-activated_protein_kinase_kinase_1
P46013	antigen_identified_by_monoclonal_antibody_ki-67
P46013	proliferation_marker_protein_ki-67
P46059	intestinal_h(+)/peptide_cotransporter
P46059	oligopeptide_transporter,_small_intestine_isoform
P46059	peptide_transporter_1
P46059	solute_carrier_family_15_member_1
P46060	ran_gtpase-activating_protein_1
P46108	adapter_molecule_crk
P46108	p38
P46108	proto-oncogene_c-crk
P46459	n-ethylmaleimide-sensitive_fusion_protein
P46459	vesicle-fusing_atpase
P46459	vesicular-fusion_protein_nsf
P46527	cyclin-dependent_kinase_inhibitor_1b
P46527	cyclin-dependent_kinase_inhibitor_p27
P46527	p27kip1
P46531	neurogenic_locus_notch_homolog_protein_1
P46531	notch_1_extracellular_truncation
P46531	notch_1_intracellular_domain
P46531	translocation-associated_notch_protein_tan-1
P46734	dual_specificity_mitogen-activated_protein_kinase_mapk/erk_kinase_3
P46734	mapk/erk_kinase_3
P46734	stress-activated_protein_kinase_kinase_2
P46736	brca1-a_complex_subunit_brcc36
P46736	brca1/brca2-containing_complex_subunit_3
P46736	brca1/brca2-containing_complex_subunit_36
P46736	brisc_complex_subunit_brcc36
P46736	lys-63-specific_deubiquitinase_brcc36
P46781	40s_ribosomal_protein_s9
P46781	small_ribosomal_subunit_protein_us4
P46783	40s_ribosomal_protein_s10
P46783	small_ribosomal_subunit_protein_es10
P46939	dystrophin-related_protein_1
P46939	utrophin
P46940	p195
P46940	ras_gtpase-activating-like_protein_iqgap1
P46977	b5
P46977	dolichyl-diphosphooligosaccharide--protein_glycosyb5
P46977	integral_membrane_protein_1
P46977	transmembrane_protein_tmc
P47712	cytosolic_phospholipase_a2
P47712	lysophospholipase
P47712	phosphatidylcholine_2-acylhydrolase
P47712	phospholipase_a2
P47712	phospholipase_a2_group_iva
P47741	ox40_antigen
P47741	ox40l_receptor
P47741	tumor_necrosis_factor_receptor_superfamily_member_ox40_antigen
P47755	capz_alpha-2
P47755	f-actin-capping_protein_subunit_alpha-2
P47756	capz_beta
P47756	f-actin-capping_protein_subunit_beta
P47813	eukaryotic_translation_initiation_factor_1a,_x-chreukaryotic_translation_initiation_factor_4c
P47813	eukaryotic_translation_initiation_factor_4c
P47992	atac
P47992	c_motif_chemokine_1
P47992	cytokine_scm-1
P47992	lymphotactin
P47992	lymphotaxin
P47992	scm-1-alpha
P47992	small-inducible_cytokine_c1
P47992	xc_chemokine_ligand_1
P48047	atp_synthase_peripheral_stalk_subunit_oscp
P48047	atp_synthase_subunit_o,_mitochondrial
P48047	oligomycin_sensitivity_conferral_protein
P48059	lim_and_senescent_cell_antigen-like-containing_domparticularly_interesting_new_cys-his_protein_1
P48059	particularly_interesting_new_cys-his_protein_1
P48059	renal_carcinoma_antigen_ny-ren-48
P48147	post-proline_cleaving_enzyme
P48147	prolyl_endopeptidase
P48357	hub219
P48357	leptin_receptor
P48357	ob_receptor
P48382	dna-binding_protein_rfx5
P48382	regulatory_factor_x_5
P48444	archain
P48444	coatomer_subunit_delta
P48444	delta-coat_protein
P48551	interferon_alpha/beta_receptor_2
P48551	interferon_alpha_binding_protein
P48551	type_i_interferon_receptor_2
P48553	epilepsy_holoprosencephaly_candidate_1_protein
P48553	protein_gt334
P48553	trafficking_protein_particle_complex_subunit_10
P48553	trafficking_protein_particle_complex_subunit_tmem1transport_protein_particle_subunit_tmem1
P48553	transport_protein_particle_subunit_tmem1
P48556	26s_proteasome_non-atpase_regulatory_subunit_8
P48556	26s_proteasome_regulatory_subunit_rpn12
P48556	26s_proteasome_regulatory_subunit_s14
P48556	p31
P48594	leupin
P48594	peptidase_inhibitor_11
P48594	serpin_b4
P48594	squamous_cell_carcinoma_antigen_2
P48634	hla-b-associated_transcript_2
P48634	large_proline-rich_protein_bat2
P48634	proline-rich_and_coiled-coil-containing_protein_2aprotein_g2
P48634	protein_g2
P48634	protein_prrc2a
P48643	cct-epsilon
P48643	t-complex_protein_1_subunit_epsilon
P48645	neuromedin_precursor-related_peptide_33
P48645	neuromedin_precursor-related_peptide_36
P48645	neuromedin-u
P48645	neuromedin-u-25
P48729	casein_kinase_i_isoform_alpha
P48729	ck1
P48729-1	ck1
P48729-1	isoform_1_of_casein_kinase_i_isoform_alpha
P49023	paxillin
P49069	calcium_signal-modulating_cyclophilin_ligand
P49321	nuclear_autoantigenic_sperm_protein
P49327	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase
P49327	3-oxoacyl-[acyl-carrier-protein]_reductase
P49327	3-oxoacyl-[acyl-carrier-protein]_synthase
P49327	[acyl-carrier-protein]_s-acetyltransferase
P49327	[acyl-carrier-protein]_s-malonyltransferase
P49327	enoyl-[acyl-carrier-protein]_reductase
P49327	fatty_acid_synthase
P49327	oleoyl-[acyl-carrier-protein]_hydrolase
P49368	cct-gamma
P49368	htric5
P49368	t-complex_protein_1_subunit_gamma
P49407	arrestin_beta-1
P49407	beta-arrestin-1
P49407	non-visual_arrestin-2
P49411	elongation_factor_tu,_mitochondrial
P49411	p43
P49639	homeobox_protein_hox-1f
P49639	homeobox_protein_hox-a1
P49674	casein_kinase_i_isoform_epsilon
P49715	ccaat/enhancer-binding_protein_alpha
P49720	proteasome_chain_13
P49720	proteasome_component_c10-ii
P49720	proteasome_subunit_beta_type-3
P49720	proteasome_theta_chain
P49721	macropain_subunit_c7-i
P49721	multicatalytic_endopeptidase_complex_subunit_c7-i
P49721	proteasome_component_c7-i
P49721	proteasome_subunit_beta_type-2
P49750	nuclear_protein_zap3
P49750	ylp_motif-containing_protein_1
P49750	zap113
P49755	21_kda_transmembrane-trafficking_protein
P49755	p23
P49755	p24_family_protein_delta-1
P49755	p24delta
P49755	s31iii125
P49755	tmp-21-i
P49755	transmembrane_emp24_domain-containing_protein_10
P49755	transmembrane_protein_tmp21
P49757	protein_numb_homolog
P49757	protein_s171
P49792	358_kda_nucleoporin
P49792	e3_sumo-protein_ligase_ranbp2
P49792	nuclear_pore_complex_protein_nup358
P49792	nucleoporin_nup358
P49792	p270
P49792	ran-binding_protein_2
P49815-2	isoform_2_of_tuberin
